temp,hum,distance,label
30.9,42.0,11.27,1
31.0,42.0,10.8,1
31.0,42.0,10.81,1
31.0,42.0,10.85,1
31.0,42.0,10.81,1
31.0,42.0,10.8,1
31.0,42.0,10.8,1
31.0,42.0,4.62,1
31.0,42.0,10.4,1
31.0,42.0,138.84,0
31.0,42.0,142.02,0
31.0,42.0,138.79,0
31.0,42.0,13.28,1
31.0,42.0,68.37,0
31.0,42.0,2387.38,0
31.0,42.0,2387.09,0
31.0,42.0,2387.56,0
31.0,42.0,2387.46,0
31.0,42.0,2387.82,0
31.0,42.0,2387.82,0
31.0,42.0,2387.51,0
31.0,42.0,2387.72,0
31.0,42.0,2388.18,0
31.0,42.0,2388.65,0
31.0,42.0,2388.09,0
31.0,42.0,2387.48,0
31.0,42.0,2389.06,0
31.1,42.0,2389.13,0
31.1,42.0,2389.3,0
31.1,42.0,2389.42,0
